primkey,order_id,jcp_line_number,jcp_component_numb,o_status,ship_date,comp_date,sku,lot,back_order,r_quantity,o_quantity,quality_level,match_flag,mono_flag,set_id,color_id,pick_loc,pick_period,pick_pull_time,iip_nbr,hold_flag,dss_flag,alloc_from_task,ticket_type,,,
500412878,2.02311E+13,12,0,DELETE,4/25/23 0:00,4/25/23 0:00,5130157,75,Y,1,1,0,,N,0,0,K0702B2,41,,2.50411E+11,,N,,A,,,
500266769,2.02311E+13,1,0,DELETE,4/21/23 0:00,4/21/23 0:00,8441071,91,Y,2,2,0,,N,0,0,F4024F1,22,,2.50307E+11,,N,,A,,,
500275737,2.02311E+13,1,0,DELETE,4/21/23 0:00,4/21/23 0:00,7312048,75,Y,2,2,0,,N,0,0,D2934B1,21,,2.50314E+11,,N,,A,,,
500275942,2.02311E+13,1,0,DELETE,4/21/23 0:00,4/21/23 0:00,7312048,75,Y,2,2,0,,N,0,0,D3022D1,21,,2.50314E+11,,N,,A,,,
500276163,2.02311E+13,2,0,DELETE,4/21/23 0:00,4/21/23 0:00,1523000,83,Y,1,1,0,,N,0,0,K2735D3,22,,2.50315E+11,,N,,A,,,
500276164,2.02311E+13,3,0,DELETE,4/21/23 0:00,4/21/23 0:00,1523003,83,Y,1,1,0,,N,0,0,D1833C2,22,,2.50315E+11,,N,,A,,,
500277520,2.02311E+13,1,0,DELETE,4/21/23 0:00,4/21/23 0:00,2332001,398,Y,1,1,0,,N,0,0,E4521A3,25,,2.50315E+11,,N,,A,,,
500277920,2.02311E+13,1,0,DELETE,4/23/23 0:00,4/23/23 0:00,542741,18,Y,1,1,0,,N,0,0,N7513B5,18,,2.50316E+11,,N,,A,,,
500280886,2.02311E+13,1,0,DELETE,4/21/23 0:00,4/21/23 0:00,1121998,1438,Y,1,1,0,,N,0,0,C2233D2,21,,2.50318E+11,,N,,A,,,
500281712,2.02311E+13,1,0,DELETE,4/21/23 0:00,4/21/23 0:00,5640196,67,Y,1,1,0,,N,0,0,D5515E3,21,,2.50318E+11,,N,,A,,,
500281730,2.02311E+13,6,0,DELETE,4/21/23 0:00,4/21/23 0:00,4354523,83,Y,1,1,0,,N,0,0,D6909C1,22,,2.50318E+11,,N,,A,,,
500288893,2.02311E+13,2,0,DELETE,4/21/23 0:00,4/21/23 0:00,8145030,67,Y,1,1,0,,N,0,0,H4830D3,21,,2.50323E+11,,N,,A,,,
500289176,2.02311E+13,1,0,DELETE,4/21/23 0:00,4/21/23 0:00,1040206,26,Y,1,1,0,,N,0,0,B2902E1,22,,2.50324E+11,,N,,A,,,
500292407,2.02311E+13,1,0,DELETE,4/21/23 0:00,4/21/23 0:00,2330365,67,Y,1,1,0,,N,0,0,G2235A3,21,,2.50326E+11,,N,,A,,,
500292551,2.02311E+13,2,0,DELETE,4/21/23 0:00,4/21/23 0:00,8940905,232,Y,1,1,0,,N,0,0,B4523G3,22,,2.50326E+11,,N,,A,,,
500292761,2.02311E+13,2,0,DELETE,4/23/23 0:00,4/23/23 0:00,8160386,75,Y,1,1,0,,N,0,0,C2708B3,17,,2.50326E+11,,N,,A,,,
500293414,2.02311E+13,2,0,DELETE,4/21/23 0:00,4/21/23 0:00,8143076,91,Y,1,1,0,,N,0,0,B0616F3,21,,2.50327E+11,,N,,A,,,
500294348,2.02311E+13,11,0,DELETE,4/21/23 0:00,4/21/23 0:00,8451028,273,Y,1,1,0,,N,0,0,B1810F4,21,,2.50327E+11,,N,,A,,,
500297853,2.02311E+13,7,0,DELETE,4/21/23 0:00,4/21/23 0:00,8451068,91,Y,1,1,0,,N,0,0,H1931C1,21,,2.5033E+11,,N,,A,,,
500297891,2.02311E+13,2,0,DELETE,4/21/23 0:00,4/21/23 0:00,8143076,67,Y,1,1,0,,N,0,0,B0629G5,24,,2.5033E+11,,N,,A,,,
500299107,2.02311E+13,5,0,DELETE,4/21/23 0:00,4/21/23 0:00,8511801,190,Y,2,2,0,,N,0,0,E1532D1,21,,2.50331E+11,,N,,A,,,
