zone_1,zone_2,zone_3,mod_type,top_off,,,
BIGSHOE,,,A24,Y,,,
REGULATED,,,A05,Y,,,
T-CLASS,,,A39,Y,,,
A-SOUTH,,,A27,Y,,,
SWING,,,A59,Y,,,
A-SOUTH,,,A33,Y,,,
LOSS_PREV,,,A00,Y,,,
TOYS,,,A27,Y,,,
SWING,,,A41,Y,,,
SWING,,,A39,Y,,,
TOWELS,,,A39,Y,,,
BIGSHOE,,,A32,Y,,,
D5AREA,,,A07,N,,,
MONOGRAM,,,A39,Y,,,
SEASONAL,,,A30,Y,,,
BIGSHOE,,,A34,Y,,,
SWATCH,,,A11,Y,,,
3PL,,,A11,Y,,,
D5AREA,,,A31,N,,,
RRR,,,A03,Y,,,
A-SOUTH,,,A34,Y,,,
X-NO-HGIND,,,X32,Y,,,
NON-MERCH,,,A98,Y,,,
VAULT,,,A34,Y,,,
REGULATED,,,W59,Y,,,
REGULATED,,,A39,Y,,,
D5AREA,,,W00,N,,,
T-CLASS,,,X32,Y,,,
T-CLASS,,,W80,Y,,,
SEASONAL,,,A32,Y,,,
W-CLASS,,,A27,Y,,,
BIGSHOE,,,A39,Y,,,
MONOGRAM,,,A07,Y,,,
MONOGRAM,,,A11,Y,,,
SEASONAL,,,A34,Y,,,
SHOES,,,A16,Y,,,
W-CLASS,,,A32,Y,,,
TOWELS,,,A49,Y,,,
SHOES,,,A18,Y,,,
RRR,,,A39,Y,,,
T-CLASS,,,A32,Y,,,
A-SOUTH,,,A39,Y,,,
D5AREA,,,A03,Y,,,
D5AREA,,,A11,N,,,
W-CLASS,,,A34,Y,,,
D5AREA,,,A02,Y,,,
W-CLASS,,,W06,Y,,,
NON-MERCH,,,W98,Y,,,
HANGING,,,X32,Y,,,
REGULATED,,,A00,Y,,,
MONOGRAM,,,A15,Y,,,
MATTRESS_F,,,W93,Y,,,
A-SOUTH,,,T01,Y,,,
NONCON_SMA,,,W57,Y,,,
MONOGRAM,,,A34,Y,,,
SHOES,,,A19,Y,,,
SHOES,,,A14,Y,,,
W-CLASS,,,A41,Y,,,
R-SECT_ME,,,W88,Y,,,
STCK_FRAME,,,A41,Y,,,
T-CLASS,,,A27,Y,,,
R-SECT_SM,,,W81,Y,,,
W-CLASS,,,W87,Y,,,
TOWELS,,,A13,Y,,,
W-CLASS,,,W81,Y,,,
W-CLASS,,,W82,Y,,,
TOWELS,,,A15,Y,,,
T-CLASS,,,T05,Y,,,
STCK_FRAME,,,A39,Y,,,
W-CLASS,,,A39,Y,,,
COFFEE,,,A31,Y,,,
COFFEE,,,A34,Y,,,
D5AREA,,,A34,Y,,,
W-T_CLASS,,,W83,Y,,,
W-T_CLASS,,,A39,Y,,,
TOWELS,,,A34,Y,,,
D5AREA,,,A13,N,,,
W-T_CLASS,,,W64,Y,,,
BLUE_BIN,,,A05,Y,,,
COFFEE,,,A27,Y,,,
W-CLASS,,,A31,Y,,,
D5AREA,,,A15,N,,,
NONCON_AF,,,W50,Y,,,
REGULATED,,,A31,Y,,,
T-CLASS,,,W06,Y,,,
REGULATED,,,A34,Y,,,
REGULATED,,,A11,Y,,,
REGULATED,,,A99,Y,,,
NONCON_BF,,,W52,Y,,,
W-CLASS,,,W98,Y,,,
R-SECT_ME,,,W89,Y,,,
T-CLASS,,,W09,Y,,,
NONCON_SMB,,,W59,Y,,,
T-CLASS,,,W83,Y,,,
NONCON_SMB,,,W58,Y,,,
R-SECT_ME,,,W87,Y,,,
BIGSHO_SF,,,A39,Y,,,
NONCON_AF,,,W51,Y,,,
KIT_ITEM,,,W70,N,,,
FACT_SHIP,,,W70,Y,,,
TAILORSHOP,,,A11,Y,,,
R-SECT_SM,,,W82,Y,,,
W_CONVEY,,,W63,N,,,
NONCON_SMA,,,W56,Y,,,
R-SECT_SM,,,W80,Y,,,
R-SECT_SM,,,W83,Y,,,
BLINDS_SH,,,W03,N,,,
VAULT,,,A05,Y,,,
BLUE_BIN,,,A15,Y,,,
BLUE_BIN,,,A11,Y,,,
BLUE_BIN,,,A13,Y,,,
SEASONAL,,,A31,Y,,,
TOWELS,,,A31,Y,,,
SWING,,,A40,Y,,,
RRR,,,A98,Y,,,
VAULT,,,A11,Y,,,
COFFEE,,,A15,Y,,,
COFFEE,,,A13,Y,,,
TAILORSHOP,,,A13,Y,,,
TAILORSHOP,,,A15,Y,,,
R-SECT_SM,,,W84,Y,,,
VAULT,,,A43,Y,,,
VAULT,,,A44,Y,,,
VAULT,,,A45,Y,,,
SWATCH,,,A03,Y,,,
MONOGRAM,,,A06,Y,,,
BLINDS_SH,,,W98,N,,,
W_CONVEY,,,W98,N,,,
VAULT,,,A31,Y,,,
D5AREA,,,A42,N,,,
